undefined,undefined,
kak,zebra,ekVideoView.ejs,
shes,bowl,ekPictureView.ejs,
zek,deer,ekVideoView.ejs,
zup,flashlight,ekPictureView.ejs,
fis,fork,ekPictureView.ejs,
tob,umbrella,ekPictureView.ejs,
duf,lighthouse,ekPictureView.ejs,
dez,horse,ekVideoView.ejs,
fid,chair,ekPictureView.ejs,
kiv,lion,ekVideoView.ejs,
gov,cup,ekPictureView.ejs,
buf,hippo,ekVideoView.ejs,
tut,turtle,videoTest.ejs,
pufev,frisbee,jaPictureView.ejs,
soshuk,bed,jaPictureView.ejs,
disab,lampshade,jaPictureView.ejs,
tikoz,tiger,jaVideoView.ejs,
kufis,duck,jaVideoView.ejs,
shobit,pig,jaVideoView.ejs,
shekef,guitar,jaPictureView.ejs,
sapif,basketball,jaPictureView.ejs,
tusud,book,jaPictureView.ejs,
fekob,cat,jaVideoView.ejs,
voguv,chicken,jaVideoView.ejs,
fudiz,dog,jaVideoView.ejs,
dapus,pen,pictureTest.ejs,
undefined,undefined,
zitav,elephant,videoTest.ejs,
tikub,crab,videoTest.ejs,
sab,pillow,pictureTest.ejs,
kos,rabbit,videoTest.ejs,
bakas,penguin,videoTest.ejs,
kozab,clock,pictureTest.ejs,
bok,toothbrush,pictureTest.ejs,
piz,bird,videoTest.ejs,
fudiz,giraffe,videoTest.ejs,
sof,basket,pictureTest.ejs,
zoshib,baloon,pictureTest.ejs,
buf,kettle,pictureTest.ejs,
undefined,undefined,
,
