,userCode,userFileName,experimentName,sourceurl,response1,response2,item,trialnumber,frame,view,syllNum,fricative,animate,long,deviceName,localTime,age,gender
0,XJA640,640,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,,,,,,,,,,,EIV,Mon+Oct+10+2016+17%3A17%3A52+GMT-0400+(EDT),19,male
1,XJA640,640,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue--undefined,,gop,3,undefined,warmup.ejs,,,,,EIV,Mon+Oct+10+2016+17%3A17%3A53+GMT-0400+(EDT),,
2,XJA640,640,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue--undefined,,dak,4,undefined,warmup.ejs,,,,,EIV,Mon+Oct+10+2016+17%3A17%3A53+GMT-0400+(EDT),,
3,XJA640,640,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue--undefined,,fitash,5,undefined,warmup.ejs,,,,,EIV,Mon+Oct+10+2016+17%3A17%3A53+GMT-0400+(EDT),,
4,XJA640,640,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue--undefined,,rezik,6,undefined,warmup.ejs,,,,,EIV,Mon+Oct+10+2016+17%3A17%3A54+GMT-0400+(EDT),,
5,XJA640,640,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue--undefined,,dog,7,undefined,stimulus.ejs,,,,,EIV,Mon+Oct+10+2016+17%3A17%3A56+GMT-0400+(EDT),,
6,XJA640,640,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue--undefined,,vesh,9,23,ro,1,yes,yes,none,EIV,Mon+Oct+10+2016+17%3A17%3A58+GMT-0400+(EDT),,
7,XJA640,640,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue--undefined,,fikash,10,60,ek,2,yes,no,none,EIV,Mon+Oct+10+2016+17%3A17%3A59+GMT-0400+(EDT),,
8,XJA640,640,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue--undefined,,fid,11,21,ro,1,no,yes,none,EIV,Mon+Oct+10+2016+17%3A17%3A59+GMT-0400+(EDT),,
9,XJA640,640,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue--undefined,,tob,12,16,ro,1,no,yes,none,EIV,Mon+Oct+10+2016+17%3A17%3A59+GMT-0400+(EDT),,
10,XJA640,640,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue--undefined,,sof,13,20,ro,1,yes,yes,none,EIV,Mon+Oct+10+2016+17%3A18%3A00+GMT-0400+(EDT),,
11,XJA640,640,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue--undefined,,piz,14,15,ro,1,yes,yes,none,EIV,Mon+Oct+10+2016+17%3A18%3A00+GMT-0400+(EDT),,
