,userCode,userFileName,experimentName,sourceurl,response1,response2,item,trialnumber,frame,view,syllNum,fricative,animate,long,deviceName,localTime,age,gender
0,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,ro,,,,,,,,
7,,,,,,,,,,ek,,,,,,,,
8,,,,,,,,,,ro,,,,,,,,
9,,,,,,,,,,ro,,,,,,,,
10,,,,,,,,,,ro,,,,,,,,
11,,,,,,,,,,ro,,,,,,,,
12,,,,,,,,,,ek,,,,,,,,
13,,,,,,,,,,ro,,,,,,,,
14,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,ek,,,,,,,,
16,,,,,,,,,,ek,,,,,,,,
17,,,,,,,,,,ro,,,,,,,,
18,,,,,,,,,,ek,,,,,,,,
19,,,,,,,,,,ro,,,,,,,,
20,,,,,,,,,,ek,,,,,,,,
21,,,,,,,,,,ro,,,,,,,,
22,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,ro,,,,,,,,
24,,,,,,,,,,ro,,,,,,,,
25,,,,,,,,,,ek,,,,,,,,
26,,,,,,,,,,ek,,,,,,,,
27,,,,,,,,,,ro,,,,,,,,
28,,,,,,,,,,ek,,,,,,,,
29,,,,,,,,,,ek,,,,,,,,
30,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,ek,,,,,,,,
32,,,,,,,,,,ek,,,,,,,,
33,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,
