,userCode,userFileName,experimentName,sourceurl,response1,response2,item,trialnumber,frame,view,syllNum,fricative,animate,long,deviceName,localTime,age,gender
0,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,ro,,,,,,,,
7,,,,,,,,,,ro,,,,,,,,
8,,,,,,,,,,ro,,,,,,,,
9,,,,,,,,,,ro,,,,,,,,
10,,,,,,,,,,ro,,,,,,,,
11,,,,,,,,,,,,,,,,,,
