,userCode,userFileName,condition,response1,options,item,trialnumber,frame,view,syllNum,fricative,animate,long,localTime,age,gender
0,TBN17,17,s,,,,,,,,,,,Thu+Dec+01+2016+11%3A08%3A02+GMT-0500+(EST),4,female
1,TBN17,17,s,Continue,,dak,3,136,jaVideoView.ejs,1,no,,,Thu+Dec+01+2016+11%3A08%3A39+GMT-0500+(EST),,
2,TBN17,17,s,Continue,,pufev,4,zebra,jaVideoView.ejs,2,yes,yes,none,Thu+Dec+01+2016+11%3A08%3A50+GMT-0500+(EST),,
3,TBN17,17,s,Continue,,biv,5,deer,jaVideoView.ejs,1,yes,yes,none,Thu+Dec+01+2016+11%3A08%3A57+GMT-0500+(EST),,
4,TBN17,17,s,Continue,,fisod,6,elephant,jaVideoView.ejs,2,no,yes,none,Thu+Dec+01+2016+11%3A09%3A04+GMT-0500+(EST),,
5,TBN17,17,s,Continue,,kusud,7,giraffe,jaVideoView.ejs,2,no,yes,none,Thu+Dec+01+2016+11%3A09%3A10+GMT-0500+(EST),,
6,TBN17,17,s,Continue,,das,8,horse,jaVideoView.ejs,1,yes,yes,none,Thu+Dec+01+2016+11%3A09%3A16+GMT-0500+(EST),,
7,TBN17,17,s,Continue,,duf,9,dog,jaVideoView.ejs,1,yes,yes,none,Thu+Dec+01+2016+11%3A09%3A23+GMT-0500+(EST),,
8,TBN17,17,s,Continue,,piz,10,pig,jaVideoView.ejs,1,yes,yes,none,Thu+Dec+01+2016+11%3A09%3A30+GMT-0500+(EST),,
9,TBN17,17,s,Continue,,zitav,11,cat,jaVideoView.ejs,2,yes,yes,none,Thu+Dec+01+2016+11%3A09%3A38+GMT-0500+(EST),,
10,TBN17,17,s,tuja+bok,ek-ja,bok,12,138,videoTest.ejs,1,no,,,Thu+Dec+01+2016+11%3A10%3A10+GMT-0500+(EST),,
11,TBN17,17,s,Continue,,shobit,13,flashlight,ekPictureView.ejs,2,no,none,yes,Thu+Dec+01+2016+11%3A10%3A21+GMT-0500+(EST),,
12,TBN17,17,s,Continue,,tikub,14,toothbrush,ekPictureView.ejs,2,no,none,yes,Thu+Dec+01+2016+11%3A10%3A27+GMT-0500+(EST),,
13,TBN17,17,s,Continue,,zek,15,umbrella,ekPictureView.ejs,1,no,no,none,Thu+Dec+01+2016+11%3A10%3A34+GMT-0500+(EST),,
14,TBN17,17,s,Continue,,zebuz,16,lampshade,ekPictureView.ejs,2,yes,none,no,Thu+Dec+01+2016+11%3A10%3A40+GMT-0500+(EST),,
15,TBN17,17,s,Continue,,sapif,17,guitar,ekPictureView.ejs,2,yes,no,none,Thu+Dec+01+2016+11%3A10%3A47+GMT-0500+(EST),,
16,TBN17,17,s,Continue,,buf,18,bed,ekPictureView.ejs,1,yes,none,no,Thu+Dec+01+2016+11%3A10%3A53+GMT-0500+(EST),,
17,TBN17,17,s,Continue,,shatoz,19,pen,ekPictureView.ejs,2,yes,no,none,Thu+Dec+01+2016+11%3A10%3A59+GMT-0500+(EST),,
18,TBN17,17,s,Continue,,fut,20,book,ekPictureView.ejs,1,no,no,none,Thu+Dec+01+2016+11%3A11%3A06+GMT-0500+(EST),,
19,TBN17,17,s,Continue,,zab,21,chair,ekPictureView.ejs,1,no,no,none,Thu+Dec+01+2016+11%3A11%3A12+GMT-0500+(EST),,
20,TBN17,17,s,Continue,,keb,22,basketball,ekPictureView.ejs,1,no,no,none,Thu+Dec+01+2016+11%3A11%3A18+GMT-0500+(EST),,
21,TBN17,17,s,tuek+tikoz,ja-ek,tikoz,23,burger,pictureTest.ejs,2,yes,no,none,Thu+Dec+01+2016+11%3A11%3A32+GMT-0500+(EST),,
22,TBN17,17,s,tuek+fis,ek-ja,fis,25,crab,videoTest.ejs,1,yes,yes,none,Thu+Dec+01+2016+11%3A11%3A46+GMT-0500+(EST),,
23,TBN17,17,s,tuek+zot,ja-ek,zot,26,hippo,videoTest.ejs,1,no,yes,none,Thu+Dec+01+2016+11%3A11%3A54+GMT-0500+(EST),,
24,TBN17,17,s,tuek+tob,ek-ja,tob,27,guitar,pictureTest.ejs,1,no,no,none,Thu+Dec+01+2016+11%3A12%3A04+GMT-0500+(EST),,
25,TBN17,17,s,tuek+fikash,ja-ek,fikash,28,bed,pictureTest.ejs,2,yes,none,no,Thu+Dec+01+2016+11%3A12%3A12+GMT-0500+(EST),,
26,TBN17,17,s,tuek+kos,ek-ja,kos,29,flashlight,pictureTest.ejs,1,yes,none,yes,Thu+Dec+01+2016+11%3A12%3A23+GMT-0500+(EST),,
27,TBN17,17,s,tuek+fid,ek-ja,fid,30,book,pictureTest.ejs,1,no,no,none,Thu+Dec+01+2016+11%3A12%3A58+GMT-0500+(EST),,
28,TBN17,17,s,tuek+dazus,ek-ja,dazus,31,tiger,videoTest.ejs,2,yes,yes,none,Thu+Dec+01+2016+11%3A13%3A00+GMT-0500+(EST),,
29,TBN17,17,s,tuek+tesuf,ja-ek,tesuf,32,rabbit,videoTest.ejs,2,yes,yes,none,Thu+Dec+01+2016+11%3A13%3A02+GMT-0500+(EST),,
30,TBN17,17,s,tuek+zup,ek-ja,zup,33,turtle,videoTest.ejs,1,no,yes,none,Thu+Dec+01+2016+11%3A13%3A03+GMT-0500+(EST),,
31,TBN17,17,s,tuek+shekef,ek-ja,shekef,34,duck,videoTest.ejs,2,yes,yes,none,Thu+Dec+01+2016+11%3A13%3A05+GMT-0500+(EST),,
32,TBN17,17,s,tuek+vebut,ek-ja,vebut,35,lion,videoTest.ejs,2,no,yes,none,Thu+Dec+01+2016+11%3A13%3A07+GMT-0500+(EST),,
33,TBN17,17,s,tuek+bakas,ja-ek,bakas,36,basketball,pictureTest.ejs,2,yes,no,none,Thu+Dec+01+2016+11%3A13%3A08+GMT-0500+(EST),,
34,,,,,,,,,,,,,,,
