,userCode
,userFileName
,experimentName
,sourceurl
,response1
,response2
,item
,trialnumber
,frame
,view
,syllNum
,fricative
,animate
,long
,deviceName
,localTime
,age
,gender
18,GYU626,626,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D4,Continue--undefined,,zashot,21,128,stimulusTest.ejs,2,no,none,no,EIV,Mon+Oct+10+2016+13%3A17%3A03+GMT-0400+(EDT),,
19,GYU626,626,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D4,Continue--undefined,,sapish,22,101,stimulusTest.ejs,2,yes,none,no,EIV,Mon+Oct+10+2016+13%3A17%3A04+GMT-0400+(EDT),,
20,GYU626,626,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D4,Continue--undefined,,vesh,23,96,stimulusTest2.ejs,1,yes,none,yes,EIV,Mon+Oct+10+2016+13%3A17%3A04+GMT-0400+(EDT),,
21,GYU626,626,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D4,zashot--undefined,,shobit,24,undefined,threeTrialsAgoTest.ejs,2,no,,,EIV,Mon+Oct+10+2016+13%3A17%3A05+GMT-0400+(EDT),,
22,GYU626,626,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D4,Continue--undefined,,das,25,66,stimulusTest2.ejs,1,yes,none,yes,EIV,Mon+Oct+10+2016+13%3A17%3A06+GMT-0400+(EDT),,
23,GYU626,626,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D4,Continue--undefined,,fekob,26,77,stimulusTest2.ejs,2,no,none,yes,EIV,Mon+Oct+10+2016+13%3A17%3A07+GMT-0400+(EDT),,
24,GYU626,626,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D4,Continue--undefined,,shufik,27,68,stimulusTest2.ejs,2,no,none,yes,EIV,Mon+Oct+10+2016+13%3A17%3A07+GMT-0400+(EDT),,
25,GYU626,626,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D4,Continue--undefined,,guz,28,117,stimulusTest.ejs,1,yes,none,no,EIV,Mon+Oct+10+2016+13%3A17%3A08+GMT-0400+(EDT),,
26,GYU626,626,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D4,Continue--undefined,,zebuz,29,123,stimulusTest.ejs,2,yes,none,no,EIV,Mon+Oct+10+2016+13%3A17%3A08+GMT-0400+(EDT),,
27,GYU626,626,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D4,Continue--undefined,,tusud,30,118,stimulusTest.ejs,2,no,none,no,EIV,Mon+Oct+10+2016+13%3A17%3A08+GMT-0400+(EDT),,
