,userCode,userFileName,experimentName,sourceurl,response1,response2,item,trialnumber,frame,view,syllNum,fricative,animate,long,deviceName,localTime,age,gender
34,HJJ641,641,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,dezitek-ro-ek,Continue--undefined,dezit,38,3,mytest.ejs,2,no,yes,none,EIV,Mon+Oct+10+2016+17%3A22%3A20+GMT-0400+(EDT),,
35,HJJ641,641,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,rosuf-ro-ek,Continue--undefined,suf,39,61,mytest.ejs,1,yes,no,none,EIV,Mon+Oct+10+2016+17%3A22%3A22+GMT-0400+(EDT),,
36,HJJ641,641,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,sodek-ek-ro,Continue--undefined,sod,40,10,mytest.ejs,1,no,yes,none,EIV,Mon+Oct+10+2016+17%3A22%3A24+GMT-0400+(EDT),,
37,HJJ641,641,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,rokos-ek-ro,Continue--undefined,kos,41,32,mytest.ejs,1,yes,yes,none,EIV,Mon+Oct+10+2016+17%3A22%3A26+GMT-0400+(EDT),,
38,HJJ641,641,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,rotikub-ro-ek,Continue--undefined,tikub,42,54,mytest.ejs,2,no,no,none,EIV,Mon+Oct+10+2016+17%3A22%3A29+GMT-0400+(EDT),,
39,HJJ641,641,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,roguz-ro-ek,Continue--undefined,guz,43,45,mytest.ejs,1,yes,no,none,EIV,Mon+Oct+10+2016+17%3A22%3A30+GMT-0400+(EDT),,
40,HJJ641,641,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,zashotek-ro-ek,Continue--undefined,zashot,44,43,mytest.ejs,2,no,no,none,EIV,Mon+Oct+10+2016+17%3A22%3A34+GMT-0400+(EDT),,
41,HJJ641,641,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,zebuzek-ro-ek,Continue--undefined,zebuz,45,14,mytest.ejs,2,yes,yes,none,EIV,Mon+Oct+10+2016+17%3A22%3A38+GMT-0400+(EDT),,
42,EVG642,642,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,,,,,,,,,,,EIV,Mon+Oct+10+2016+17%3A25%3A45+GMT-0400+(EDT),19,male
43,EVG642,642,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue--undefined,,gop,3,undefined,warmup.ejs,,,,,EIV,Mon+Oct+10+2016+17%3A25%3A46+GMT-0400+(EDT),,
