,userCode,userFileName,condition,response1,options,item,trialnumber,frame,view,syllNum,fricative,animate,long,localTime,age,gender
0,FQJ2,2,s,,,,,,,,,,,Thu+Dec+01+2016+10%3A12%3A44+GMT-0500+(EST),,none
1,FQJ2,2,s,Continue,,sod,3,flashlight,ekPictureView.ejs,1,no,none,yes,Thu+Dec+01+2016+10%3A12%3A45+GMT-0500+(EST),,
2,FQJ2,2,s,Continue,,zot,4,chair,ekPictureView.ejs,1,no,no,none,Thu+Dec+01+2016+10%3A12%3A47+GMT-0500+(EST),,
3,FQJ2,2,s,Continue,,keb,5,elephant,ekVideoView.ejs,1,no,yes,none,Thu+Dec+01+2016+10%3A12%3A48+GMT-0500+(EST),,
4,FQJ2,2,s,Continue,,sof,6,umbrella,ekPictureView.ejs,1,yes,no,none,Thu+Dec+01+2016+10%3A12%3A49+GMT-0500+(EST),,
5,FQJ2,2,s,Continue,,fid,7,tiger,ekVideoView.ejs,1,no,yes,none,Thu+Dec+01+2016+10%3A12%3A50+GMT-0500+(EST),,
6,RXC3,3,s,,,,,,,,,,Thu+Dec+01+2016+10%3A15%3A31+GMT-0500+(EST),4,female
7,RXC3,3,s,Continue,,tikub,3,pen,jaPictureView.ejs,2,no,no,none,Thu+Dec+01+2016+10%3A16%3A23+GMT-0500+(EST),,
8,RXC3,3,s,Continue,,tusud,4,pig,jaVideoView.ejs,2,no,yes,none,Thu+Dec+01+2016+10%3A16%3A36+GMT-0500+(EST),,
9,RXC3,3,s,Continue,,fisod,5,umbrella,jaPictureView.ejs,2,no,no,none,Thu+Dec+01+2016+10%3A16%3A45+GMT-0500+(EST),,
10,RXC3,3,s,Continue,,pufev,6,139,jaPictureView.ejs,2,yes,none,,Thu+Dec+01+2016+10%3A16%3A53+GMT-0500+(EST),,
11,RXC3,3,s,Continue,,disab,7,kettle,jaPictureView.ejs,2,no,none,no,Thu+Dec+01+2016+10%3A17%3A03+GMT-0500+(EST),,
12,RXC3,3,s,Continue,,dezit,8,bed,jaPictureView.ejs,2,no,none,no,Thu+Dec+01+2016+10%3A17%3A11+GMT-0500+(EST),,
13,RXC3,3,s,Continue,,zebuz,9,cup,jaPictureView.ejs,2,yes,none,no,Thu+Dec+01+2016+10%3A17%3A18+GMT-0500+(EST),,
14,RXC3,3,s,Continue,,fudiz,10,basketball,jaPictureView.ejs,2,yes,no,none,Thu+Dec+01+2016+10%3A17%3A26+GMT-0500+(EST),,
15,RXC3,3,s,Continue,,vebut,11,horse,jaVideoView.ejs,2,no,yes,none,Thu+Dec+01+2016+10%3A17%3A35+GMT-0500+(EST),,
16,RXC3,3,s,Continue,,sapish,12,lion,jaVideoView.ejs,2,yes,yes,none,Thu+Dec+01+2016+10%3A17%3A47+GMT-0500+(EST),,
17,RXC3,3,s,Continue,,voguv,13,dog,jaVideoView.ejs,2,yes,yes,none,Thu+Dec+01+2016+10%3A17%3A56+GMT-0500+(EST),,
18,RXC3,3,s,tuek+bepud,ja-ek,bepud,14,hippo,videoTest.ejs,2,no,yes,none,Thu+Dec+01+2016+10%3A18%3A13+GMT-0500+(EST),,
19,RXC3,3,s,Continue,,duf,15,giraffe,ekVideoView.ejs,1,yes,yes,none,Thu+Dec+01+2016+10%3A18%3A26+GMT-0500+(EST),,
20,RXC3,3,s,Continue,,fid,16,bowl,ekPictureView.ejs,1,no,none,no,Thu+Dec+01+2016+10%3A18%3A33+GMT-0500+(EST),,
21,RXC3,3,s,Continue,,fut,17,frisbee,ekPictureView.ejs,1,no,none,no,Thu+Dec+01+2016+10%3A18%3A40+GMT-0500+(EST),,
22,RXC3,3,s,Continue,,pof,18,chair,ekPictureView.ejs,1,yes,no,none,Thu+Dec+01+2016+10%3A18%3A46+GMT-0500+(EST),,
23,RXC3,3,s,Continue,,zif,19,book,ekPictureView.ejs,1,yes,no,none,Thu+Dec+01+2016+10%3A18%3A52+GMT-0500+(EST),,
24,RXC3,3,s,Continue,,zab,20,lampshade,ekPictureView.ejs,1,no,none,no,Thu+Dec+01+2016+10%3A18%3A59+GMT-0500+(EST),,
25,RXC3,3,s,Continue,,shes,21,deer,ekVideoView.ejs,1,yes,yes,none,Thu+Dec+01+2016+10%3A19%3A05+GMT-0500+(EST),,
26,RXC3,3,s,Continue,,zot,22,flashlight,ekPictureView.ejs,1,no,none,yes,Thu+Dec+01+2016+10%3A19%3A21+GMT-0500+(EST),,
27,RXC3,3,s,Continue,,dez,23,cat,ekVideoView.ejs,1,yes,yes,none,Thu+Dec+01+2016+10%3A19%3A27+GMT-0500+(EST),,
28,RXC3,3,s,Continue,,piz,24,baloon,ekPictureView.ejs,1,yes,none,no,Thu+Dec+01+2016+10%3A19%3A33+GMT-0500+(EST),,
29,RXC3,3,s,Continue,,sof,25,duck,ekVideoView.ejs,1,yes,yes,none,Thu+Dec+01+2016+10%3A19%3A40+GMT-0500+(EST),,
30,RXC3,3,s,Continue,,sod,26,zebra,ekVideoView.ejs,1,no,yes,none,Thu+Dec+01+2016+10%3A19%3A47+GMT-0500+(EST),,
31,RXC3,3,s,tuek+kiv,ja-ek,kiv,27,turtle,videoTest.ejs,1,yes,yes,none,Thu+Dec+01+2016+10%3A20%3A06+GMT-0500+(EST),,
32,RXC3,3,s,tuek+voguv,ek-ja,voguv,29,basket,pictureTest.ejs,2,yes,none,no,Thu+Dec+01+2016+10%3A20%3A18+GMT-0500+(EST),,
33,RXC3,3,s,tuek+kozab,ek-ja,kozab,30,rabbit,videoTest.ejs,2,no,yes,none,Thu+Dec+01+2016+10%3A20%3A33+GMT-0500+(EST),,
34,RXC3,3,s,tuek+dezosh,ja-ek,dezosh,31,tiger,videoTest.ejs,2,yes,yes,none,Thu+Dec+01+2016+10%3A20%3A54+GMT-0500+(EST),,
35,RXC3,3,s,tuek+besh,ek-ja,besh,32,crab,videoTest.ejs,1,yes,yes,none,Thu+Dec+01+2016+10%3A20%3A56+GMT-0500+(EST),,
36,RXC3,3,s,tuek+kos,ek-ja,kos,33,penguin,videoTest.ejs,1,yes,yes,none,Thu+Dec+01+2016+10%3A20%3A58+GMT-0500+(EST),,
37,RXC3,3,s,tuek+shatoz,ja-ek,shatoz,34,chicken,videoTest.ejs,2,yes,yes,none,Thu+Dec+01+2016+10%3A21%3A00+GMT-0500+(EST),,
38,RXC3,3,s,tuek+pisok,ja-ek,pisok,35,fork,pictureTest.ejs,2,no,none,yes,Thu+Dec+01+2016+10%3A21%3A02+GMT-0500+(EST),,
39,RXC3,3,s,tuek+shik,ek-ja,shik,36,toothbrush,pictureTest.ejs,1,no,none,yes,Thu+Dec+01+2016+10%3A21%3A04+GMT-0500+(EST),,
40,RXC3,3,s,tuek+pefid,ja-ek,pefid,37,136,videoTest.ejs,2,no,,,Thu+Dec+01+2016+10%3A21%3A07+GMT-0500+(EST),,
41,RXC3,3,s,tuek+kak,ja-ek,kak,38,elephant,videoTest.ejs,1,no,yes,none,Thu+Dec+01+2016+10%3A21%3A12+GMT-0500+(EST),,
42,RXC3,3,s,tuek+biv,ek-ja,biv,39,pillow,pictureTest.ejs,1,yes,no,none,Thu+Dec+01+2016+10%3A21%3A14+GMT-0500+(EST),,
43,RXC3,3,s,tuek+sod,ja-ek,sod,40,guitar,pictureTest.ejs,1,no,no,none,Thu+Dec+01+2016+10%3A21%3A16+GMT-0500+(EST),,
44,,,,,,,,,,,,,,,
